EmployeeID,EmployeeName,Position,GasStationID,PhoneNumber,Email,StartDate,Address
1,Employee 1,Maintenance,96,747753713,employee1@example.com,29/4/2023,"Duong Hai Ba Trung, City"
2,Employee 2,Pump Attendant,41,522720047,employee2@example.com,31/12/2023,"Tran Quoc Toan, City"
3,Employee 3,Maintenance,80,468803752,employee3@example.com,2/7/2023,"Nguyen Tat Thanh, City"
4,Employee 4,Maintenance,30,342075744,employee4@example.com,14/5/2023,"Duong Bui Vien, City"
5,Employee 5,Manager,94,832841347,employee5@example.com,15/1/2024,"Vo Van Ngan, City"
6,Employee 6,Pump Attendant,71,163008456,employee6@example.com,13/3/2024,"Ly Thai To, City"
7,Employee 7,Cashier,41,378531251,employee7@example.com,2/5/2023,"Kinh Duong Vuong, City"
8,Employee 8,Maintenance,5,514921083,employee8@example.com,8/3/2024,"Le Van Khuong, City"
9,Employee 9,Maintenance,51,413302883,employee9@example.com,28/6/2023,"Duong Bui Vien, City"
10,Employee 10,Cashier,59,931197959,employee10@example.com,26/5/2023,"Duong Ton Duc Thang, City"
11,Employee 11,Manager,8,314041654,employee11@example.com,4/10/2023,"Cach Mang Thang Tam, City"
12,Employee 12,Manager,78,943047880,employee12@example.com,15/5/2023,"Xo Viet Nghe Tinh, City"
13,Employee 13,Manager,7,678417236,employee13@example.com,7/8/2023,"Duong Bui Vien, City"
14,Employee 14,Maintenance,48,682452202,employee14@example.com,19/11/2023,"Ly Thai To, City"
15,Employee 15,Manager,97,220521157,employee15@example.com,23/7/2023,"Duong Tran Quoc Thao, City"
16,Employee 16,Pump Attendant,64,210939658,employee16@example.com,5/12/2023,"Ha Huy Giap, City"
17,Employee 17,Maintenance,61,862952634,employee17@example.com,5/5/2023,"Nguyen Hue, City"
18,Employee 18,Maintenance,84,749889643,employee18@example.com,19/8/2023,"Nguyen Tat Thanh, City"
19,Employee 19,Cashier,55,924948378,employee19@example.com,21/5/2023,"Ky Con, City"
20,Employee 20,Manager,38,670817473,employee20@example.com,4/5/2023,"Dai Lo Dong Tay, City"
21,Employee 21,Cashier,37,615458985,employee21@example.com,20/11/2023,"Duong Pasteur, City"
22,Employee 22,Cashier,92,943443028,employee22@example.com,10/2/2024,"Le Van Sy, City"
23,Employee 23,Maintenance,40,363127189,employee23@example.com,20/7/2023,"Bach Dang, City"
24,Employee 24,Maintenance,49,520299370,employee24@example.com,8/7/2023,"Duong Dien Bien Phu, City"
25,Employee 25,Pump Attendant,87,869536149,employee25@example.com,1/8/2023,"Duong Bui Vien, City"
26,Employee 26,Cashier,10,703794978,employee26@example.com,26/11/2023,"Duong Pasteur, City"
27,Employee 27,Pump Attendant,18,111259664,employee27@example.com,19/3/2024,"Phan Van Tri, City"
28,Employee 28,Pump Attendant,26,498552769,employee28@example.com,29/6/2023,"Cau Sai Gon, City"
29,Employee 29,Cashier,89,705008469,employee29@example.com,18/8/2023,"Ly Thai To, City"
30,Employee 30,Manager,86,269091703,employee30@example.com,2/6/2023,"Tran Quoc Toan, City"
31,Employee 31,Pump Attendant,3,202286463,employee31@example.com,27/5/2023,"Duong Truong Dinh, City"
32,Employee 32,Pump Attendant,37,363858709,employee32@example.com,22/5/2023,"Ly Thai To, City"
33,Employee 33,Manager,88,477752621,employee33@example.com,17/2/2024,"Duong Cach Mang Thang Tam, City"
34,Employee 34,Pump Attendant,86,619416553,employee34@example.com,2/7/2023,"Xa Lo Ha Noi, City"
35,Employee 35,Manager,30,321232560,employee35@example.com,15/2/2024,"Nguyen Dinh Chieu, City"
36,Employee 36,Cashier,76,793895511,employee36@example.com,21/11/2023,"Duong Tran Hung Dao, City"
37,Employee 37,Pump Attendant,66,232711699,employee37@example.com,6/7/2023,"Phan Van Tri, City"
38,Employee 38,Cashier,57,640007707,employee38@example.com,25/5/2023,"Duong Nguyen Hue, City"
39,Employee 39,Maintenance,45,851841275,employee39@example.com,30/10/2023,"Tran Nao, City"
40,Employee 40,Maintenance,78,894460124,employee40@example.com,2/8/2023,"Duong Le Thanh Ton, City"
41,Employee 41,Cashier,91,538696551,employee41@example.com,20/9/2023,"Tran Nao, City"
42,Employee 42,Maintenance,82,791973374,employee42@example.com,28/5/2023,"Xo Viet Nghe Tinh, City"
43,Employee 43,Cashier,79,394095742,employee43@example.com,24/2/2024,"Hong Bang, City"
44,Employee 44,Maintenance,14,864981253,employee44@example.com,27/7/2023,"Nguyen Dinh Chieu, City"
